date,Sun-Earth (AU),Sun-Cassini (AU),Earth-Cassini (AU),Impact parameter (AU),Impact parameter (Rsun),LE (AU),LC (AU),LE/rE,LC/rC,LE/rE + LC/rC,Shapiro (s),Shapiro (us),Shapiro JG (s),Shapiro JG (us),y,y x1e13,yJG,yJG x1e13,Shapiro approx (s),Difference (ns)
A.D. 2002-Jun-06 00:31:00.0000,1.0147050452939967,7.369627860644289,8.35626130496667,0.22256717179825602,47.859098733276106,0.9899950418980984,7.366266263068573,0.9756480925067846,0.999543857893603,-0.02480804959961236,6.29559842869532e-05,62.955984286953196,7.268477435982374e-05,72.68477435982373,1.4693244906249264e-11,146.93244906249265,1.4874979466082032e-11,148.74979466082033,6.307891257204478e-05,-122.92828509158642
A.D. 2002-Jun-06 00:32:00.0000,1.0147051417110573,7.369630210961786,8.35626625146263,0.22255738341332493,47.85699391576384,0.9899973412606072,7.366268910202021,0.9756502658409848,0.9995438983146312,-0.024805835844384116,6.29568659013428e-05,62.9568659013428,7.268566687804467e-05,72.68566687804467,1.4693901391229394e-11,146.93901391229394,1.4875627875901793e-11,148.75627875901793,6.307978315061461e-05,-122.9172492718132
A.D. 2002-Jun-06 00:33:00.0000,1.0147052381257449,7.369632561277548,8.356271197844308,0.22254759500796206,47.854889093858084,0.9899996405231654,7.366271557321142,0.9756524390785515,0.9995439387339248,-0.024803622187524077,6.295774755512014e-05,62.95774755512014,7.268655943516885e-05,72.68655943516885,1.469455791698004e-11,146.94557916980042,1.487627632660501e-11,148.76276326605011,6.308065376907757e-05,-122.90621395742728
A.D. 2002-Jun-06 00:34:00.0000,1.0147053345380588,7.369634911591575,8.356276144111709,0.22253780658216818,47.85278426755901,0.9900019396857722,7.366274204425936,0.9756546122194847,0.9995439791514837,-0.024801408629031574,6.295862924829284e-05,62.95862924829284,7.268745203120387e-05,72.68745203120386,1.469521453104799e-11,146.9521453104799,1.4876924865399655e-11,148.76924865399656,6.308152442743716e-05,-122.89517914432224
A.D. 2002-Jun-06 00:35:00.0000,1.0147054309479993,7.369637261903863,8.356281090264828,0.22252801813594425,47.85067943686681,0.9900042387484276,7.3662768515164,0.9756567852637841,0.9995440195673083,-0.024799195168907273,6.295951098086387e-05,62.95951098086387,7.26883446661527e-05,72.68834466615269,1.4695871190516907e-11,146.95871190516908,1.4877573449595264e-11,148.77573449595263,6.30823951256969e-05,-122.88414483302662
A.D. 2002-Jun-06 00:36:00.0000,1.014705527355566,7.369639612214415,8.356286036303667,0.22251822966929122,47.8485746017817,0.9900065377111315,7.366279498592535,0.9756589582114499,0.9995440599813983,-0.02479698180715184,6.29603927528357e-05,62.9603927528357,7.268923734001782e-05,72.68923734001783,1.469652790521237e-11,146.9652790521237,1.4878222089243297e-11,148.78222089243297,6.308326586386028e-05,-122.87311102458396
A.D. 2002-Jun-06 00:37:00.0000,1.0147056237607595,7.369641962523232,8.356290982228225,0.22250844118221025,47.846469762303926,0.9900088365738837,7.366282145654343,0.9756611310624819,0.9995441003937539,-0.02479476854376439,6.29612745642125e-05,62.961274564212495,7.26901300528034e-05,72.6901300528034,1.4697184679538953e-11,146.97184679538952,1.4878870788296576e-11,148.78870788296575,6.308413664193081e-05,-122.86207771831666
A.D. 2002-Jun-06 00:38:00.0000,1.014705720163579,7.36964431283031,8.356295928038502,0.22249865267470215,47.84436491843366,0.9900111353366837,7.366284792701819,0.9756633038168798,0.9995441408043747,-0.024792555378745362,6.296215641499724e-05,62.962156414997246,7.269102280451241e-05,72.69102280451241,1.4697841518465915e-11,146.97841518465916,1.487951955195023e-11,148.7951955195023,6.308500745991198e-05,-122.85104491473967
A.D. 2002-Jun-06 00:39:00.0000,1.0147058165640244,7.369646663135654,8.3563008737345,0.2224888641467679,47.84226007017112,0.9900134339995313,7.366287439734969,0.9756654764746439,0.999544181213261,-0.024790342312095204,6.296303830519471e-05,62.96303830519471,7.269191559514964e-05,72.69191559514964,1.4698498417249873e-11,146.98498417249874,1.488016837557382e-11,148.8016837557382,6.308587831780733e-05,-122.84001261261976
A.D. 2002-Jun-06 00:40:00.0000,1.0147059129620961,7.369649013439258,8.356305819316214,0.2224790755984085,47.84015521751651,0.9900157325624268,7.366290086753787,0.9756676490357737,0.9995442216204129,-0.02478812934381347,6.296392023480731e-05,62.96392023480731,7.269280842471748e-05,72.69280842471748,1.4699155366178183e-11,146.99155366178184,1.4880817249228822e-11,148.8081724922882,6.308674921562036e-05,-122.8289808130411
A.D. 2002-Jun-06 00:41:00.0000,1.0147060093577938,7.369651363741128,8.356310764783649,0.222469287029625,47.83805036047007,0.9900180310253694,7.366292733758277,0.9756698215002695,0.9995442620258299,-0.024785916473900382,6.296480220383865e-05,62.96480220383865,7.269370129321954e-05,72.69370129321955,1.4699812370107163e-11,146.99812370107162,1.4881466177884497e-11,148.81466177884496,6.308762015335453e-05,-122.81794951588172
A.D. 2002-Jun-06 00:42:00.0000,1.0147061057511175,7.36965371404126,8.356315710136798,0.22245949844041846,47.83594549903201,0.9900203293883593,7.366295380748438,0.9756719938681309,0.9995443024295125,-0.024783703702356386,6.296568421229173e-05,62.96568421229173,7.269459420065883e-05,72.69459420065883,1.470046943874946e-11,147.00469438749462,1.488211517125349e-11,148.8211517125349,6.30884911310134e-05,-122.80691872167019
A.D. 2002-Jun-06 00:43:00.0000,1.0147062021420665,7.369656064339655,8.356320655375665,0.22244970983078957,47.83384063320249,0.9900226276513957,7.36629802772427,0.9756741661393581,0.9995443428314607,-0.02478149102918148,6.29665662601713e-05,62.9665662601713,7.26954871470401e-05,72.6954871470401,1.4701126567248755e-11,147.01126567248755,1.4882764224592416e-11,148.82764224592415,6.308936214860046e-05,-122.79588842915965
A.D. 2002-Jun-06 00:44:00.0000,1.0147062985306416,7.369658414636313,8.356325600500247,0.2224399212007394,47.83173576298175,0.9900249258144789,7.366300674685769,0.9756763383139506,0.9995443832316739,-0.02477927845437522,6.29674483474798e-05,62.967448347479795,7.269638013236578e-05,72.69638013236577,1.4701783755605043e-11,147.01783755605044,1.48834133376754e-11,148.83413337675398,6.309023320611923e-05,-122.78485863943432
